year,state,candidate,party,outcome,incumbent,Population,Male,Black or African American,Bachelor's degree,Graduate or professional degree,18 to 29 years,65 years and over,Disposable Income Per Capita,Avg Unemployment,turnout,state_Alaska,state_Arizona,state_Arkansas,state_California,state_Colorado,state_Connecticut,state_Delaware,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New Mexico,state_New York,state_North Carolina,state_North Dakota,state_Ohio,state_Oklahoma,state_Oregon,state_Pennsylvania,state_Rhode Island,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,state_West Virginia,state_Wisconsin,state_Wyoming,candidate_other,candidate_republican
1980,Illinois,Charles F. Wilson,other,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Illinois,Burton Lee Artz,other,0,0,11426109,0.4845103095973936,0.1463741565094686,0.05561980860148097,0.04449165768578933,0.22085301027639392,0.10891072204290576,8674.0,8.433333333333332,0.619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Indiana,Birch Bayh,democrat,0,2,5484830,0.48562583761081896,0.07525176571562481,0.0391442319775015,0.03686739710316245,0.22132835464182052,0.10472798146593297,7568.0,10.266666666666666,0.5920000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Indiana,Dan Quayle,republican,1,0,5484830,0.48562583761081896,0.07525176571562481,0.0391442319775015,0.03686739710316245,0.22132835464182052,0.10472798146593297,7568.0,10.266666666666666,0.5920000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Iowa,Charles E. Grassley,republican,1,0,2927513,0.4862747396874794,0.014209735496877096,0.05134272875866852,0.0354177253888423,0.2206855327230457,0.1309724792507958,7842.0,6.383333333333333,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1980,Iowa,Garry De Young,other,0,0,2927513,0.4862747396874794,0.014209735496877096,0.05134272875866852,0.0354177253888423,0.2206855327230457,0.1309724792507958,7842.0,6.383333333333333,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Iowa,John Ingram Henderson,other,0,0,2927513,0.4862747396874794,0.014209735496877096,0.05134272875866852,0.0354177253888423,0.2206855327230457,0.1309724792507958,7842.0,6.383333333333333,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Iowa,Robert V. Hengerer,other,0,0,2927513,0.4862747396874794,0.014209735496877096,0.05134272875866852,0.0354177253888423,0.2206855327230457,0.1309724792507958,7842.0,6.383333333333333,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Iowa,John Culver,democrat,0,1,2927513,0.4862747396874794,0.014209735496877096,0.05134272875866852,0.0354177253888423,0.2206855327230457,0.1309724792507958,7842.0,6.383333333333333,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Kansas,Bob Dole,republican,1,1,2352289,0.4893872511142143,0.053028235095988085,0.05820315956639632,0.048365810165279084,0.22796842017797925,0.12870064490662436,8047.0,4.666666666666667,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
