YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
1980,Kentucky,3660777,1789039,1871738,282731,289411,301745,208843,145596,72837,70178,203104,309338,276288,404520,354252,178333,64209,89564,248988,125804,35036,3380256,259289,4601,11823,2321884,137958,116742
1980,Louisiana,4205900,2039894,2166006,361533,345966,371795,251174,174983,88826,84875,246575,368732,312027,450219,393906,189278,69599,92133,254901,118843,30535,2915310,1238472,12932,25123,2522633,202061,149202
1980,Maine,1124660,546235,578425,78514,84179,94277,64417,42995,20785,20187,57466,92242,86557,122725,112021,56566,20947,29864,82288,44531,14099,1112977,3381,4365,3073,700716,65299,36483
1980,Maryland,4216975,2042810,2174165,272274,292916,356578,245762,159249,80108,78717,233566,371136,354443,527067,446488,222682,78069,102311,247209,115735,32665,3166142,957418,9075,67949,2501047,272488,276334
1980,Massachusetts,5737037,2730893,3006144,337215,374734,461332,317108,231131,115453,113319,324130,489175,446395,627300,584835,310995,115851,161533,422615,230008,73908,5378403,221029,9198,52615,3475419,419818,349710
1980,Michigan,9262078,4516189,4745889,685113,727120,801874,537879,363398,182845,180689,530896,806918,708369,1028999,930931,471411,165238,228140,556510,274095,81653,7893278,1197177,44919,62641,5693063,432346,384301
1980,Minnesota,4075970,1997826,2078144,307249,296295,333378,234886,164932,82283,78800,232483,363435,313104,449216,380250,189457,69869,100769,270148,156627,52789,3942025,52325,36730,32226,2457906,264427,179435
1980,Mississippi,2520638,1213878,1306760,215279,219048,226276,153594,105284,51191,47670,134644,197129,172410,260505,231819,112768,44516,59148,179949,85899,23509,1615632,887111,6914,7749,1517744,112907,73171
1980,Missouri,4916686,2365487,2551199,354144,355426,382168,270745,190591,93478,89370,262594,398398,354339,540566,496552,254957,93460,131772,381060,205994,61072,4348412,513385,14971,24962,3107493,252944,191965
1980,Montana,786690,392625,394065,64455,60238,62539,44663,29959,15151,14768,44099,71516,61409,88419,73677,36557,14325,20356,51528,24194,8837,740901,1738,37700,3097,470427,50772,33688
1980,Nebraska,1569825,765894,803931,122946,118045,120907,85272,61977,31100,29747,87887,134794,114407,163774,150653,75104,27979,39549,114021,67919,23744,1492220,47946,9146,8190,966774,90577,65013
1980,Nevada,800493,405060,395433,56132,55689,61744,42234,27928,14761,14866,47815,75951,69197,105311,85410,42116,14994,20589,45998,16118,3640,703053,51203,14344,15606,511633,40730,32549
1980,New Hampshire,920610,448462,472148,62512,67997,76763,50810,36966,17966,17178,48480,79468,77928,107028,90121,44749,16438,23239,61788,31529,9650,910551,4324,1385,3364,556159,64694,41083
