year,state,candidate,party,outcome
2016,Ohio,Tom Connors,none,0
2016,Ohio,Rob Portman,republican,1
2016,Oklahoma,Mike Workman,democrat,0
2016,Oklahoma,James Lankford,republican,1
2016,Oklahoma,Sean Braddy,independent,0
2016,Oklahoma,Robert T. Murphy,libertarian,0
2016,Oklahoma,Mark T. Beard,independent,0
2016,Oregon,Eric Navickas,pacific green,0
2016,Oregon,Ron Wyden,democrat,1
2016,Oregon,Shanti S. Lewallen,working families,0
2016,Oregon,Steven C. Reynolds,independent,0
2016,Oregon,Mark Callahan,republican,0
2016,Oregon,Jim Lindsay,libertarian,0
2016,Pennsylvania,Katie McGinty,democrat,0
2016,Pennsylvania,Edward T. Clifford III,libertarian,0
2016,Pennsylvania,Patrick J. Toomey,republican,1
2016,South Carolina,Tim Scott,republican,1
2016,South Carolina,Rebel Michael Scarborough,american,0
2016,South Dakota,John R. Thune,republican,1
2016,South Dakota,Jay Williams,democrat,0
2016,Utah,Mike Lee,republican,1
2016,Utah,Bill Barron,none,0
2016,Utah,Stoney Fonua,independent american,0
2016,Utah,Misty K. Snow,democrat,0
2016,Vermont,Scott Milne,republican,0
2016,Vermont,Cris Ericson,united states marijuana,0
2016,Vermont,Jerry Trudell,independent,0
2016,Vermont,Pete Diamondstone,liberty union,0
2016,Vermont,Patrick J. Leahy,democrat,1
2016,Washington,Chris Vance,republican,0
2016,Washington,Patty Murray,democrat,1
2016,Wisconsin,Russ Feingold,democrat,0
2016,Wisconsin,Philip N. Anderson,libertarian,0
2016,Wisconsin,Ron Johnson,republican,1
2018,Arizona,Martha McSally,republican,0
2018,Arizona,Kyrsten Sinema,democrat,1
2018,Arizona,Angela Green,green,0
2018,California,Dianne Feinstein,democrat,1
2018,California,Kevin De Leon,democrat,0
2018,Connecticut,Matthew Corey,republican,0
2018,Connecticut,Richard Lion,libertarian,0
2018,Connecticut,Jeff Russell,green,0
2018,Delaware,Thomas R Carper,democrat,1
2018,Delaware,Robert B Arlett,republican,0
2018,Delaware,Demitri G Theodoropoulos,green,0
2018,Delaware,Nadine M Frost,libertarian,0
2018,Florida,Rick Scott,republican,1
2018,Florida,Bill Nelson,democrat,0
2018,Hawaii,Mazie K. Hirono,democrat,1
2018,Hawaii,Ron Curtis,republican,0
2018,Indiana,Mike Braun,republican,1
2018,Indiana,Joe Donnelly,democrat,0
2018,Indiana,Lucy M. Brenton,libertarian,0
2018,Maine,Eric L. Brakey,republican,0
2018,Maine,"Angus S. King, Jr.",independent,1
2018,Maine,Zak Ringelstein,democrat,0
2018,Maryland,Tony Campbell,republican,0
2018,Maryland,Ben Cardin,democrat,1
2018,Maryland,Arvin Vohra,libertarian,0
2018,Maryland,Neal Simon,unaffiliated,0
2018,Massachusetts,Elizabeth A. Warren,democrat,1
2018,Massachusetts,Geoff Diehl,republican,0
2018,Massachusetts,Shiva Ayyadurai,unenrolled,0
2018,Michigan,John James,republican,0
2018,Michigan,Debbie Stabenow,democrat,1
2018,Michigan,George E. Huffman III,us taxpayers,0
2018,Michigan,Marcia Squier,green,0
2018,Michigan,John Howard Wilhelm,natural law,0
2018,Minnesota,Jim Newberger,republican,0
2018,Minnesota,Amy Klobuchar,democratic-farmer-labor,1
2018,Minnesota,Dennis Schuller,legal marijuana now,0
2018,Minnesota,Paula M Overby,minnesota green,0
2018,Minnesota,Karin Housley,republican,0
2018,Minnesota,Tina Smith,democratic-farmer-labor,0
2018,Minnesota,Sarah Wellington,legal marijuana now,0
2018,Minnesota,Jerry Trooien,unaffiliated,0
2018,Mississippi,David Baria,democrat,0
2018,Mississippi,Roger F. Wicker,republican,1
2018,Mississippi,Danny Bedwell,libertarian,0
2018,Mississippi,Shawn O'Hara,reform,0
2018,Mississippi,Cindy Hyde-Smith,republican,0
2018,Mississippi,Mike Espy,democrat,0
2018,Missouri,Josh Hawley,republican,1
2018,Missouri,Claire McCaskill,democrat,0
2018,Missouri,Japheth Campbell,libertarian,0
2018,Missouri,Jo Crain,green,0
2018,Missouri,Craig O'Dear,independent,0
2018,Montana,Jon Tester,democrat,1
2018,Montana,Rick Breckenridge,libertarian,0
2018,Montana,Matt Rosendale,republican,0
2018,Nebraska,Deb Fischer,republican,1
2018,Nebraska,Jane Raybould,democrat,0
2018,Nebraska,Jim Schultz,libertarian,0
2018,Nevada,Jacky Rosen,democrat,1
2018,Nevada,Dean Heller,republican,0
2018,Nevada,Barry Michaels,independent,0
2018,Nevada,Tim Hagan,libertarian,0
2018,Nevada,Kamau A. Bakari,independent american,0
2018,New Jersey,Robert Menendez,democrat,1
2018,New Jersey,Bob Hugin,republican,0
2018,New Jersey,Madelyn R. Hoffman,green,0
2018,New Jersey,Murray Sabrin,libertarian,0
2018,New Jersey,Natalie Lynn Rivera,for the people,0
2018,New Jersey,Tricia Flanagan,new day nj,0
2018,New Jersey,Kevin Kimple,make it simple,0
2018,New Jersey,Hank Schroeder,economic growth,0
2018,New Mexico,Martin T Heinrich,democrat,1
2018,New Mexico,Gary E Johnson,libertarian,0
2018,New Mexico,Mick Rich,republican,0
2018,North Dakota,Kevin Cramer,republican,1
2018,North Dakota,Heidi Heitkamp,democratic-npl,0
2018,Ohio,Sherrod Brown,democrat,1
2018,Ohio,Jim Renacci,republican,0
2018,Pennsylvania,Robert P Casey Jr,democrat,1
2018,Pennsylvania,Louis J. Barletta,republican,0
2018,Pennsylvania,Neal Taylor Gale,green,0
2018,Pennsylvania,Dale R Kerns Jr,libertarian,0
2018,Rhode Island,Sheldon Whitehouse,democrat,1
2018,Rhode Island,"Robert G. Flanders, Jr.",republican,0
2018,Tennessee,Marsha Blackburn,republican,1
2018,Tennessee,Phil Bredesen,democrat,0
2018,Tennessee,Trudy A. Austin,independent,0
2018,Tennessee,John Carico,independent,0
2018,Tennessee,Dean Hill,independent,0
2018,Tennessee,Kevin Lee McCants,independent,0
2018,Tennessee,Breton Phillips,independent,0
2018,Tennessee,Kris L. Todd,independent,0
2018,Texas,Ted Cruz,republican,1
2018,Texas,Beto O'Rourke,democrat,0
2018,Texas,Neal M. Dikeman,libertarian,0
2018,Utah,Mitt Romney,republican,1
2018,Utah,Jenny Wilson,democrat,0
2018,Utah,Tim Aalders,constitution,0
2018,Utah,Craig R. Bowden,libertarian,0
2018,Utah,Reed C. McCandless,independent american,0
2018,Vermont,Folasade Adeluola,independent,0
2018,Vermont,Russell Beste,independent,0
2018,Vermont,Bruce Busa,independent,0
2018,Vermont,Edward S. Gilbert Jr,independent,0
2018,Vermont,Reid Kane,liberty union,0
2018,Vermont,Brad J. Peacock,independent,0
2018,Vermont,Bernie Sanders,independent,1
2018,Vermont,Jon Svitavsky,independent,0
2018,Vermont,Lawrence Zupan,republican,0
2018,Virginia,Corey A. Stewart,republican,0
2018,Virginia,Timothy M. Kaine,democrat,1
2018,Virginia,Matt J. Waters,libertarian,0
2018,Washington,Maria Cantwell,democrat,1
2018,Washington,Susan Hutchison,republican,0
2018,West Virginia,Joe Manchin,democrat,1
2018,West Virginia,Patrick Morrisey,republican,0
2018,West Virginia,Rusty Hollen,libertarian,0
2018,Wisconsin,Tammy Baldwin,democrat,1
2018,Wisconsin,Leah Vukmir,republican,0
2018,Wyoming,John Barrasso,republican,1
2018,Wyoming,Gary Trauner,democrat,0
2018,Wyoming,Joseph Porambo,libertarian,0
1980,New York,Alfonse M. D'Amato,republican,0
1982,New York,Daniel P. Moynihan,democrat,1
1982,New York,Florence M. Sullivan,republican,0
1986,New York,Alfonse M. D'Amato,republican,1
1988,New York,Daniel Patrick Moynihan,democrat,1
1988,New York,Robert R. McMillan,republican,0
1992,Connecticut,Christopher J. Dodd,democrat,1
1992,Georgia,Paul Coverdell,republican,0
1992,Georgia,"Wyche Fowler, Jr.",democrat,1
1992,New York,Alfonse D'Amato,republican,0
1992,New York,Robert Abrams,democrat,1
1994,Connecticut,Joseph I. Lieberman,democrat,1
1994,New York,Bernadette Castro,republican,0
1994,New York,Daniel Patrick Moynihan,democrat,1
1998,New York,Alfonse D'Amato,republican,0
1998,New York,Charles E. Schumer,democrat,1
2000,New York,Hillary Rodham Clinton,democrat,1
2000,New York,Rick Lazio,republican,0
2002,Louisiana,Mary L. Landrieu,democrat,1
2002,Louisiana,Suzanne Haik Terrell,republican,0
2004,New York,Charles E. Schumer,democrat,1
2004,South Carolina,Efia Nwangaza,green,0
2006,New York,Hillary Rodham Clinton,democrat,1
2006,New York,John Spencer,republican,0
2008,Georgia,Jim Martin,democrat,0
2008,Georgia,Saxby Chambliss,republican,1
2010,Connecticut,Richard Blumenthal,democrat,1
2010,New York,Jay Townsend,republican,0
2010,New York,Joseph J. DioGuardi,republican,0
2012,Connecticut,Christopher S. Murphy,democrat,1
2012,Connecticut,Linda E. McMahon,republican,0
2012,New York,Kirsten E. Gillibrand,democrat,1
2012,New York,Wendy Long,republican,0
2014,South Carolina,Brad Hutto,democrat,0
2016,Connecticut,Richard Blumenthal,democrat,1
2016,New York,Charles E. Schumer,democrat,1
2016,New York,Wendy Long,republican,0
2016,South Carolina,Bill Bledsoe,libertarian,0
2016,South Carolina,Thomas Dixon,democrat,0
2018,Connecticut,Christopher S Murphy,democrat,1
2018,New York,Chele Chiavacci Farley,republican,0
2018,New York,Kirsten E. Gillibrand,democrat,1
